Rush Hour,Alcohol Involved,Align,Work Zone,Weekday,Accident at Intersection,Accident at Roadway,Speed Limit,Number of Vehical Involved,Weather,Injury
0,0,2,0,1,1,0,40,1,No,1
1,0,1,0,1,1,1,70,2,Yes,2
1,0,1,0,1,1,1,35,2,Yes,2
1,0,1,0,0,1,1,35,2,No,2
1,1,1,0,1,0,1,25,3,No,2
1,0,1,0,1,1,0,70,1,Yes,1
1,0,1,0,1,0,0,70,1,Yes,2
1,0,1,0,1,0,0,35,1,No,1
1,0,1,0,1,1,0,30,1,Yes,2
0,0,1,0,0,1,0,25,1,Yes,2
1,0,1,0,1,0,0,55,1,Yes,2
1,0,1,0,1,0,1,40,2,No,2
1,0,1,0,1,0,1,40,4,No,1
1,0,2,0,1,0,0,25,1,No,2
1,0,2,0,1,0,0,35,1,No,1
1,0,2,0,1,0,0,45,1,No,1
1,0,1,0,1,0,0,20,1,Yes,2
1,0,1,0,0,0,0,50,1,Yes,2
1,0,1,0,1,0,0,55,1,Yes,2
1,0,1,0,1,1,1,55,1,Yes,2
1,0,1,0,1,1,0,45,1,No,1
1,0,2,0,1,1,0,65,1,No,2
1,0,1,0,1,0,0,65,1,Yes,1
1,0,1,0,1,1,1,55,2,Yes,1
1,0,1,0,1,1,0,70,1,No,2
1,0,1,0,1,0,1,55,3,Yes,2
1,0,1,0,0,0,0,55,1,Yes,2
1,0,2,0,1,0,0,55,1,Yes,2
1,0,1,0,1,0,0,70,1,Yes,2
1,0,1,0,0,0,1,55,2,No,2
1,0,1,0,1,0,1,65,3,No,2
1,0,1,0,1,0,0,55,2,No,1
1,0,1,0,0,1,1,55,2,Yes,1
1,0,1,0,1,0,1,70,2,Yes,2
1,0,1,0,1,1,1,25,2,Yes,2
1,0,1,0,1,0,1,70,2,Yes,2
1,0,1,0,1,0,0,55,1,No,2
1,0,1,0,1,0,0,65,1,No,1
1,0,1,0,1,1,0,65,1,No,2
1,0,1,0,1,0,0,65,1,Yes,1
1,0,2,0,1,0,0,65,1,Yes,1
1,0,1,0,0,1,1,45,2,Yes,1
1,0,1,0,1,1,1,45,2,No,2
1,0,1,0,1,0,1,45,3,No,2
1,0,1,0,1,1,0,40,1,No,2
1,0,1,0,1,1,1,50,2,Yes,2
1,0,2,0,1,0,1,25,2,No,2
1,0,1,0,1,1,1,35,2,No,2
1,0,1,0,0,1,1,25,2,Yes,2
1,0,1,0,0,0,1,65,2,Yes,2
1,0,2,0,0,0,0,35,1,Yes,2
1,0,2,0,1,1,0,35,1,Yes,2
1,0,1,0,0,1,0,45,1,Yes,2
